payloadData,dev_eui,ts,frame
adAf/xIFAAAhAAA=,464c58212beca0c9,2026-04-03T20:16:08.000Z,"{""MessageId"":""8006d363-51cb-4939-8e98-bf4af12fdb83"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAf/xIFAAAhAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":15,""FOptLen"":0,""FPort"":20,""Frequency"":""905300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-50,""Snr"":10.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-104,""Snr"":7.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-111,""Snr"":1.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-4}],""MIC"":""c015d4a5"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:08Z""}}}"
adAgBBANiwAAAAA=,464c58212beca0c9,2026-04-03T20:16:12.000Z,"{""MessageId"":""e52b0f9d-6489-4152-95a0-189155340cc4"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAgBBANiwAAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":17,""FOptLen"":0,""FPort"":20,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-103,""Snr"":10},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-108,""Snr"":7.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-1.75}],""MIC"":""a039fecd"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:12Z""}}}"
adAgBBIAAAKzAAA=,464c58212beca0c9,2026-04-03T20:16:19.000Z,"{""MessageId"":""11f93431-610c-40c2-ba47-dfe50276ab14"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAgBBIAAAKzAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":19,""FOptLen"":0,""FPort"":20,""Frequency"":""904700000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-53,""Snr"":14.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-114,""Snr"":0},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-115,""Snr"":-1}],""MIC"":""ab8b16ad"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:19Z""}}}"
adAgBBIBAABAAAA=,464c58212beca0c9,2026-04-03T20:16:23.000Z,"{""MessageId"":""05a3224f-0843-4106-bf00-f2615aec4b39"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAgBBIBAABAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":20,""FOptLen"":0,""FPort"":20,""Frequency"":""904700000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-55,""Snr"":13.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-111,""Snr"":3.25}],""MIC"":""9473195d"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:23Z""}}}"
adAgBBICAAAZAAA=,464c58212beca0c9,2026-04-03T20:16:27.000Z,"{""MessageId"":""c4f3ab2b-ba41-447d-a1db-25279af10c3b"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAgBBICAAAZAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":21,""FOptLen"":0,""FPort"":20,""Frequency"":""904500000"",""Gateways"":[{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-106,""Snr"":7.25},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-112,""Snr"":2.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-3.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-117,""Snr"":-3.75}],""MIC"":""9b559801"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:27Z""}}}"
adAgBBIDAAAMAAA=,464c58212beca0c9,2026-04-03T20:16:31.000Z,"{""MessageId"":""6b8ea0b2-f6dc-4a67-9579-d0264447242e"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAgBBIDAAAMAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":22,""FOptLen"":0,""FPort"":20,""Frequency"":""905300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-52,""Snr"":10.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-102,""Snr"":7.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-108,""Snr"":2.5},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-119,""Snr"":-7.25}],""MIC"":""db802cc7"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:31Z""}}}"
adAgBBIEAAA/AAA=,464c58212beca0c9,2026-04-03T20:16:35.000Z,"{""MessageId"":""13c400ee-aaa5-409e-942d-7decded35534"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAgBBIEAAA/AAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":23,""FOptLen"":0,""FPort"":20,""Frequency"":""905100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-50,""Snr"":13.75},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-109,""Snr"":2.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-106,""Snr"":1.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-115,""Snr"":-3.25}],""MIC"":""387676e0"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:35Z""}}}"
adAgBBIFAAAhAAA=,464c58212beca0c9,2026-04-03T20:16:39.000Z,"{""MessageId"":""60dd59d1-7711-461e-976e-61aa07bdea7e"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adAgBBIFAAAhAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":24,""FOptLen"":0,""FPort"":20,""Frequency"":""904900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-52,""Snr"":14.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-109,""Snr"":5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-109,""Snr"":2.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-3.25}],""MIC"":""c1a21988"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-03T20:16:39Z""}}}"
adCRiwJ1kzQFAAA=,464c58212beca0c9,2026-04-04T04:20:22.000Z,"{""MessageId"":""07f5a008-e3ac-4b5d-8057-2c07e0669d29"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adCRiwJ1kzQFAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":25,""FOptLen"":0,""FPort"":11,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-62,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-108,""Snr"":6},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-114,""Snr"":-0.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-118,""Snr"":-5}],""MIC"":""8b26702b"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-04T04:20:22Z""}}}"
adEyAQJ1kzFZAAA=,464c58212beca0c9,2026-04-04T15:44:52.000Z,"{""MessageId"":""eb9fa79a-b413-498d-9205-57ae96e7b96a"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adEyAQJ1kzFZAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":26,""FOptLen"":0,""FPort"":11,""Frequency"":""904100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-60,""Snr"":13.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-106,""Snr"":8.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-110,""Snr"":3.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-2.75}],""MIC"":""b23c3c4e"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-04T15:44:52Z""}}}"
