payloadData,dev_eui,ts,frame
adLDBBIEAAA/AAA=,464c58212beca0c9,2026-04-05T20:16:38.000Z,"{""MessageId"":""f7d2febb-9e04-44ca-b3a2-80b8b7cc9505"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adLDBBIEAAA/AAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":64,""FOptLen"":0,""FPort"":20,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-60,""Snr"":13.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-103,""Snr"":10},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-109,""Snr"":7.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-115,""Snr"":-1},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-122,""Snr"":-8.5}],""MIC"":""6b01eb77"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-05T20:16:38Z""}}}"
adLDBBIFAAAhAAA=,464c58212beca0c9,2026-04-05T20:16:42.000Z,"{""MessageId"":""77e45a56-47ec-4ff8-b7f6-3d2ef9858994"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adLDBBIFAAAhAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""00b3db96"",""DevEui"":""464c58212beca0c9"",""FCnt"":65,""FOptLen"":0,""FPort"":20,""Frequency"":""904900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-53,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-106,""Snr"":7.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-106,""Snr"":8.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-115,""Snr"":-2.75}],""MIC"":""9670cb3e"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-05T20:16:42Z""}}}"
adMXmxIAAAKzAAA=,464c58212beca0c9,2026-04-06T02:16:56.000Z,"{""MessageId"":""3e1e1c86-bdd5-402f-b69c-023043046a7b"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adMXmxIAAAKzAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""0"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":1,""FOptLen"":0,""FPort"":20,""Frequency"":""904900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-44,""Snr"":13},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-101,""Snr"":9.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-108,""Snr"":3.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-109,""Snr"":3},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-110,""Snr"":2.5}],""MIC"":""534f9d13"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":10,""Timestamp"":""2026-04-06T02:16:56Z""}}}"
adMXmxIBAABAAAA=,464c58212beca0c9,2026-04-06T02:17:00.000Z,"{""MessageId"":""b28a42c4-10a1-4153-b5ea-c24dac72901b"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adMXmxIBAABAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":2,""FOptLen"":1,""FPort"":20,""Frequency"":""904100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-47,""Snr"":14.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-97,""Snr"":12.75},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-98,""Snr"":12.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-106,""Snr"":6.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-111,""Snr"":2}],""MIC"":""f4cad7c7"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T02:17:00Z""}}}"
adMXmxICAAAZAAA=,464c58212beca0c9,2026-04-06T02:17:04.000Z,"{""MessageId"":""f18d9713-df88-48d4-a6e7-15fee1324470"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adMXmxICAAAZAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":3,""FOptLen"":1,""FPort"":20,""Frequency"":""905300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-50,""Snr"":10.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-110,""Snr"":3.25},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-111,""Snr"":2.5},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-119,""Snr"":-6.75},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-119,""Snr"":-7.5}],""MIC"":""54e29368"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T02:17:04Z""}}}"
adMXmxIDAAAMAAA=,464c58212beca0c9,2026-04-06T02:17:09.000Z,"{""MessageId"":""3888bc80-dd69-4426-a113-00736577b9cd"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adMXmxIDAAAMAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":4,""FOptLen"":0,""FPort"":20,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-57,""Snr"":13.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-100,""Snr"":11.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-107,""Snr"":7.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-112,""Snr"":2},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-119,""Snr"":-5.25}],""MIC"":""6034370c"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T02:17:09Z""}}}"
adMXmxIEAAA/AAA=,464c58212beca0c9,2026-04-06T02:17:14.000Z,"{""MessageId"":""f77e1338-7be2-4ec6-8a8e-dba581a71395"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adMXmxIEAAA/AAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":5,""FOptLen"":0,""FPort"":20,""Frequency"":""904700000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-54,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-101,""Snr"":10.25},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-106,""Snr"":7.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-118,""Snr"":-4.5}],""MIC"":""121306a6"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T02:17:14Z""}}}"
adMXmxIFAAAhAAA=,464c58212beca0c9,2026-04-06T02:17:19.000Z,"{""MessageId"":""fb87d85d-0dc5-4d33-b30a-a8f7ee1b0d68"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adMXmxIFAAAhAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":6,""FOptLen"":0,""FPort"":20,""Frequency"":""904500000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-53,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-104,""Snr"":9},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-108,""Snr"":6.5},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-3},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-118,""Snr"":-4.75}],""MIC"":""c93c32bc"",""MType"":""UnconfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T02:17:19Z""}}}"
adQUgBANlQAAAAA=,464c58212beca0c9,2026-04-06T20:15:44.000Z,"{""MessageId"":""966d34e9-a5e6-4277-b20d-adc48c129d6a"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUgBANlQAAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":7,""FOptLen"":0,""FPort"":20,""Frequency"":""905100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-53,""Snr"":14.5},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-102,""Snr"":9.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-110,""Snr"":1.75}],""MIC"":""4570d2a6"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:15:44Z""}}}"
adQUgBIAAAKzAAA=,464c58212beca0c9,2026-04-06T20:15:49.000Z,"{""MessageId"":""1ebe6c61-6f9d-48f0-b1ef-c3dc365e79a0"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUgBIAAAKzAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":9,""FOptLen"":0,""FPort"":20,""Frequency"":""904300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-56,""Snr"":10.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-100,""Snr"":8},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-117,""Snr"":-4},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-119,""Snr"":-6.25}],""MIC"":""66633679"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:15:49Z""}}}"
adQUgBIBAABAAAA=,464c58212beca0c9,2026-04-06T20:15:53.000Z,"{""MessageId"":""5115096b-93da-40c0-97a2-72648e0df5fe"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUgBIBAABAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":11,""FOptLen"":0,""FPort"":20,""Frequency"":""904500000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-56,""Snr"":14.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-104,""Snr"":8.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-114,""Snr"":-1},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-115,""Snr"":-3}],""MIC"":""89922846"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:15:53Z""}}}"
adQUgBICAAAZAAA=,464c58212beca0c9,2026-04-06T20:15:57.000Z,"{""MessageId"":""1ad422f0-b497-4fa7-8823-61d849d9628f"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUgBICAAAZAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":12,""FOptLen"":0,""FPort"":20,""Frequency"":""904700000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-69,""Snr"":11.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-116,""Snr"":-2},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-117,""Snr"":-3.75}],""MIC"":""c08441b6"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:15:57Z""}}}"
adQUgBIDAAAMAAA=,464c58212beca0c9,2026-04-06T20:16:01.000Z,"{""MessageId"":""2bbf716d-b186-47a6-be32-b73c50a8390e"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUgBIDAAAMAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":13,""FOptLen"":0,""FPort"":20,""Frequency"":""904900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-57,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-109,""Snr"":3.5},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-117,""Snr"":-4.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-119,""Snr"":-6.75}],""MIC"":""730fa4cd"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:01Z""}}}"
adQUgBIEAAA/AAA=,464c58212beca0c9,2026-04-06T20:16:06.000Z,"{""MessageId"":""8a55d4aa-b657-4cad-aa2f-c3f805487efb"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUgBIEAAA/AAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":14,""FOptLen"":0,""FPort"":20,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-66,""Snr"":14},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-102,""Snr"":10.25}],""MIC"":""16296694"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:06Z""}}}"
adQUgBIFAAAhAAA=,464c58212beca0c9,2026-04-06T20:16:10.000Z,"{""MessageId"":""97075c85-4622-4e0b-b044-6750ab6389df"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUgBIFAAAhAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":16,""FOptLen"":0,""FPort"":20,""Frequency"":""905100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-53,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-107,""Snr"":6.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-110,""Snr"":1.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-4}],""MIC"":""ac452c30"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:10Z""}}}"
adQUhRANjAAAAAA=,464c58212beca0c9,2026-04-06T20:16:16.000Z,"{""MessageId"":""ecc23f0e-9f23-4a2e-b06d-534374685343"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUhRANjAAAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":18,""FOptLen"":0,""FPort"":20,""Frequency"":""904700000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-56,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-112,""Snr"":2.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-114,""Snr"":0},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-117,""Snr"":-3.5}],""MIC"":""25d871b6"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:16Z""}}}"
adQUhRIAAAKzAAA=,464c58212beca0c9,2026-04-06T20:16:20.000Z,"{""MessageId"":""8e3cd73a-f4c3-4317-bc73-747a18cc25e2"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUhRIAAAKzAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":19,""FOptLen"":0,""FPort"":20,""Frequency"":""904300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-55,""Snr"":11.5},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-103,""Snr"":7.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-117,""Snr"":-4.25}],""MIC"":""a272e1b7"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:20Z""}}}"
adQUhRIBAABAAAA=,464c58212beca0c9,2026-04-06T20:16:25.000Z,"{""MessageId"":""db3f7190-32dc-4bf3-ac80-f56d7707c52e"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUhRIBAABAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":20,""FOptLen"":0,""FPort"":20,""Frequency"":""904100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-58,""Snr"":14},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-104,""Snr"":8.75},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-111,""Snr"":2.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-114,""Snr"":-1.25}],""MIC"":""2932bdd8"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:25Z""}}}"
adQUhRICAAAZAAA=,464c58212beca0c9,2026-04-06T20:16:29.000Z,"{""MessageId"":""36a6c018-aedc-41e3-94e7-4729e4ba686d"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUhRICAAAZAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":21,""FOptLen"":0,""FPort"":20,""Frequency"":""905300000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-54,""Snr"":10.75},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-112,""Snr"":1.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-118,""Snr"":-6}],""MIC"":""58df0902"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:29Z""}}}"
adQUhRIDAAAMAAA=,464c58212beca0c9,2026-04-06T20:16:33.000Z,"{""MessageId"":""0d56c365-ef6f-4cf4-a566-8adea4ac30d8"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUhRIDAAAMAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":22,""FOptLen"":0,""FPort"":20,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-58,""Snr"":14.25},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-112,""Snr"":2.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-116,""Snr"":-2.25}],""MIC"":""d507be77"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:33Z""}}}"
adQUhRIEAAA/AAA=,464c58212beca0c9,2026-04-06T20:16:37.000Z,"{""MessageId"":""72fd46d6-e4cf-4e16-b1df-e3e11b5a489c"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUhRIEAAA/AAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":23,""FOptLen"":0,""FPort"":20,""Frequency"":""905100000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-56,""Snr"":14}],""MIC"":""1d43c08c"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:37Z""}}}"
adQUhRIFAAAhAAA=,464c58212beca0c9,2026-04-06T20:16:41.000Z,"{""MessageId"":""97f4f266-b5b5-4c77-bf25-eac34b676706"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adQUhRIFAAAhAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":24,""FOptLen"":0,""FPort"":20,""Frequency"":""904500000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-55,""Snr"":14},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-107,""Snr"":7},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-115,""Snr"":-2.75},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-117,""Snr"":-4.25}],""MIC"":""fe0cdd27"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-06T20:16:41Z""}}}"
adVmABANlAAAAAA=,464c58212beca0c9,2026-04-07T20:15:44.000Z,"{""MessageId"":""133c879b-0dba-4850-8037-b8ba20b72ed9"",""WirelessDeviceId"":""39886500-d9c4-4adb-86e0-79dd1d3211bf"",""PayloadData"":""adVmABANlAAAAAA="",""WirelessMetadata"":{""LoRaWAN"":{""ADR"":true,""Bandwidth"":125,""ClassB"":false,""CodeRate"":""4/5"",""DataRate"":""3"",""DevAddr"":""018845fd"",""DevEui"":""464c58212beca0c9"",""FCnt"":25,""FOptLen"":0,""FPort"":20,""Frequency"":""903900000"",""Gateways"":[{""GatewayEui"":""000ce3fffe7640df"",""Rssi"":-55,""Snr"":14.25},{""GatewayEui"":""000ce3fffe764142"",""Rssi"":-102,""Snr"":9.5},{""GatewayEui"":""ac1f09fffe1f4c5b"",""Rssi"":-112,""Snr"":3.25},{""GatewayEui"":""000ce3fffe7640ca"",""Rssi"":-119,""Snr"":-6.75},{""GatewayEui"":""000ce3fffe76411e"",""Rssi"":-121,""Snr"":-7}],""MIC"":""f51a880d"",""MType"":""ConfirmedDataUp"",""Major"":""LoRaWANR1"",""Modulation"":""LORA"",""PolarizationInversion"":false,""SpreadingFactor"":7,""Timestamp"":""2026-04-07T20:15:44Z""}}}"
